文件名 | 品类 | 商品名 | 价格
--------------------------------------------------
P001.jpg | 零食 | 乐事原味薯片 | ¥8.5/袋
P002.jpg | 零食 | 奥利奥夹心饼干 | ¥9.9/盒
P003.jpg | 零食 | 良品铺子猪肉脯 | ¥15.0/袋
P004.jpg | 零食 | 卫龙辣条 | ¥3.5/袋
P005.jpg | 零食 | 三只松鼠坚果礼盒 | ¥49.9/盒
P006.jpg | 饮料 | 红牛维生素饮料 | ¥6.0/罐
P007.jpg | 饮料 | 可口可乐 | ¥3.5/瓶
P008.jpg | 饮料 | 农夫山泉 | ¥2.0/瓶
P009.jpg | 饮料 | 元气森林气泡水 | ¥5.5/瓶
P010.jpg | 饮料 | 王老吉凉茶 | ¥5.0/罐
P011.jpg | 烟 | 中华（软） | ¥70.0/包
P012.jpg | 烟 | 芙蓉王（硬蓝） | ¥35.0/包
P013.jpg | 烟 | 黄鹤楼（软蓝） | ¥19.0/包
P014.jpg | 烟 | 利群（新版） | ¥16.0/包
P015.jpg | 酒 | 雪花啤酒 | ¥4.0/罐
P016.jpg | 酒 | 茅台迎宾酒 | ¥168.0/瓶
P017.jpg | 酒 | 张裕解百纳干红 | ¥89.0/瓶
P018.jpg | 酒 | RIO锐澳鸡尾酒 | ¥12.0/瓶
P019.jpg | 槟榔 | 口味王槟榔 | ¥15.0/袋
P020.jpg | 槟榔 | 伍子醉槟榔 | ¥10.0/袋
P021.jpg | 槟榔 | 胖哥槟榔 | ¥12.0/袋
P022.jpg | 槟榔 | 皇爷槟榔 | ¥8.0/袋
P023.jpg | 日用品 | 维达抽纸 | ¥15.9/提
P024.jpg | 日用品 | 蓝月亮洗衣液 | ¥29.9/瓶
P025.jpg | 日用品 | 舒肤佳洗手液 | ¥12.9/瓶
P026.jpg | 日用品 | 高露洁牙膏 | ¥13.9/支
